epoch,train_loss,train_acc,val_loss,val_acc
1,0.625311,0.79958,0.29035,0.904762
2,0.226436,0.919328,0.138992,0.954762
3,0.139763,0.951681,0.102408,0.965476
4,0.101373,0.964706,0.088706,0.971429
5,0.068574,0.977101,0.068624,0.97619
6,0.046135,0.984034,0.046475,0.983333
7,0.045222,0.984034,0.047769,0.988095
8,0.038772,0.986975,0.048165,0.985714
9,0.025522,0.991597,0.049781,0.986905
10,0.023078,0.993697,0.043184,0.986905
11,0.025745,0.992437,0.045047,0.988095
12,0.015006,0.996639,0.036074,0.990476
13,0.017275,0.994538,0.039146,0.990476
14,0.011005,0.996008,0.041008,0.988095
15,0.012658,0.995588,0.037099,0.986905
16,0.014726,0.995378,0.047417,0.988095
17,0.009459,0.996639,0.043996,0.988095
18,0.012202,0.996218,0.04293,0.988095
