epoch,train_loss,train_acc,val_loss,val_acc
1,0.42895,0.857353,0.146973,0.960714
2,0.126341,0.955462,0.103486,0.971429
3,0.069338,0.977521,0.1106,0.970238
4,0.056104,0.983824,0.072474,0.977381
5,0.035598,0.988025,0.083815,0.982143
6,0.029361,0.990126,0.103518,0.970238
7,0.02887,0.991387,0.079968,0.979762
8,0.030153,0.990546,0.076165,0.97619
9,0.016046,0.994958,0.082839,0.980952
10,0.009058,0.996639,0.046124,0.983333
11,0.008667,0.997689,0.045114,0.984524
12,0.006987,0.997689,0.05672,0.985714
13,0.006555,0.998109,0.064272,0.984524
14,0.006437,0.998319,0.05882,0.984524
15,0.007393,0.997689,0.113935,0.97381
16,0.010022,0.996639,0.071901,0.980952
17,0.008381,0.997479,0.068343,0.983333
18,0.004921,0.998529,0.054302,0.985714
