epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.077527,0.55125,0.534344,0.832143,5e-05
2,0.396539,0.863,0.26503,0.891667,0.0001
3,0.231648,0.91725,0.148842,0.945238,9.855e-05
4,0.167343,0.9425,0.119688,0.95119,9.427e-05
5,0.113034,0.96125,0.090803,0.970238,8.743e-05
6,0.104433,0.96475,0.081827,0.972619,7.84e-05
7,0.08582,0.97425,0.067067,0.978571,6.773e-05
8,0.076668,0.97425,0.067733,0.980952,5.603e-05
9,0.062579,0.97875,0.061733,0.982143,4.397e-05
10,0.061124,0.979,0.050084,0.984524,3.227e-05
11,0.047253,0.986,0.051315,0.983333,2.16e-05
12,0.039887,0.98675,0.051965,0.983333,1.257e-05
13,0.039114,0.98525,0.050879,0.983333,5.73e-06
14,0.044147,0.9855,0.05076,0.984524,1.45e-06
15,0.042914,0.985,0.050737,0.983333,0.0
