epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.576581,0.769958,0.261741,0.909524,1.667e-05
2,0.201791,0.937815,0.102909,0.971429,3.333e-05
3,0.161953,0.959034,0.092902,0.977381,5e-05
4,0.138016,0.969748,0.097255,0.977381,4.957e-05
5,0.10605,0.97584,0.156,0.967857,4.831e-05
6,0.095995,0.978992,0.338659,0.933333,4.626e-05
7,0.076429,0.983403,0.097225,0.97381,4.348e-05
8,0.060162,0.986345,0.103926,0.980952,4.007e-05
9,0.045502,0.990966,0.13436,0.97619,3.614e-05
10,0.035175,0.992647,0.125526,0.982143,3.184e-05
11,0.03109,0.993908,0.06957,0.988095,2.731e-05
12,0.022969,0.994328,0.101055,0.982143,2.269e-05
13,0.021263,0.995798,0.100206,0.985714,1.816e-05
14,0.014217,0.996849,0.091027,0.985714,1.386e-05
15,0.015833,0.996218,0.068665,0.989286,9.93e-06
16,0.007354,0.998109,0.074033,0.988095,6.52e-06
17,0.005491,0.998739,0.076806,0.988095,3.74e-06
18,0.005575,0.998739,0.074146,0.990476,1.69e-06
19,0.005082,0.998739,0.073117,0.990476,4.3e-07
20,0.002755,0.99895,0.073531,0.990476,0.0
