epoch,train_loss,train_acc,val_loss,val_acc
1,0.498575,0.758214,0.273245,0.896667
2,0.272726,0.886786,0.185431,0.921667
3,0.197126,0.924286,0.142179,0.943333
4,0.179218,0.927857,0.117107,0.95
5,0.142338,0.948214,0.102252,0.956667
6,0.112489,0.956429,0.09624,0.956667
7,0.097601,0.960714,0.084848,0.975
8,0.08159,0.970714,0.105536,0.966667
9,0.073622,0.974643,0.07844,0.97
10,0.064069,0.976071,0.094726,0.97
11,0.048231,0.983571,0.07493,0.981667
12,0.054244,0.979643,0.085163,0.968333
13,0.044966,0.985357,0.117038,0.961667
14,0.043026,0.983571,0.095118,0.971667
15,0.034302,0.989643,0.093563,0.973333
16,0.032131,0.989643,0.086253,0.975
17,0.025662,0.993214,0.086146,0.981667
