epoch,train_loss,train_acc,val_loss,val_acc
1,0.457616,0.782857,0.221228,0.921667
2,0.219823,0.911786,0.131052,0.956667
3,0.155744,0.941429,0.129577,0.955
4,0.129349,0.951786,0.116916,0.951667
5,0.085626,0.971786,0.114382,0.963333
6,0.069131,0.974643,0.095648,0.966667
7,0.073934,0.976071,0.109904,0.961667
8,0.0589,0.979643,0.068812,0.975
9,0.062375,0.979286,0.077089,0.971667
10,0.054938,0.983929,0.064819,0.978333
11,0.045621,0.984286,0.100394,0.976667
12,0.042937,0.985714,0.07771,0.975
13,0.027629,0.991429,0.122481,0.968333
14,0.044849,0.986786,0.068554,0.98
15,0.026186,0.991071,0.059054,0.978333
16,0.015147,0.995357,0.059461,0.981667
17,0.022498,0.993571,0.077753,0.975
18,0.043189,0.984286,0.070788,0.97
19,0.026856,0.990357,0.062835,0.981667
20,0.022839,0.993214,0.054105,0.983333
21,0.021583,0.994286,0.057629,0.981667
22,0.014005,0.995357,0.061238,0.978333
23,0.025801,0.990357,0.099497,0.975
24,0.032837,0.99,0.066909,0.98
25,0.013933,0.995714,0.069197,0.976667
