epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.608031,0.660357,0.408668,0.85,3.333e-05
2,0.355699,0.848929,0.256239,0.905,6.667e-05
3,0.257016,0.902857,0.242092,0.921667,0.0001
4,0.230049,0.922857,0.213323,0.94,9.915e-05
5,0.198497,0.944643,0.181119,0.951667,9.662e-05
6,0.174303,0.954286,0.152269,0.96,9.251e-05
7,0.157835,0.961429,0.163356,0.958333,8.695e-05
8,0.13748,0.965,0.195595,0.958333,8.013e-05
9,0.101103,0.975357,0.178585,0.965,7.229e-05
10,0.110194,0.973571,0.157864,0.968333,6.368e-05
11,0.080065,0.978214,0.179515,0.963333,5.461e-05
12,0.054654,0.985357,0.172784,0.97,4.539e-05
13,0.060005,0.9875,0.170223,0.975,3.632e-05
14,0.043042,0.987857,0.182141,0.975,2.771e-05
15,0.038154,0.989643,0.16321,0.973333,1.987e-05
16,0.032486,0.991429,0.186101,0.97,1.305e-05
17,0.033576,0.991071,0.192126,0.971667,7.49e-06
18,0.02499,0.994643,0.191242,0.97,3.38e-06
19,0.046828,0.991071,0.191364,0.971667,8.5e-07
