epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.448211,0.780714,0.245138,0.903333,3.333e-05
2,0.316502,0.895714,0.238275,0.913333,6.667e-05
3,0.327917,0.897857,0.279362,0.918333,0.0001
4,0.337124,0.890357,0.43568,0.896667,9.915e-05
5,0.294816,0.913571,0.31059,0.896667,9.662e-05
6,0.251702,0.935,0.149779,0.953333,9.251e-05
7,0.208188,0.9425,0.281025,0.95,8.695e-05
8,0.178697,0.954643,0.137496,0.96,8.013e-05
9,0.140017,0.964286,0.143622,0.958333,7.229e-05
10,0.127209,0.968929,0.200445,0.953333,6.368e-05
11,0.10686,0.973214,0.081932,0.976667,5.461e-05
12,0.047237,0.988929,0.145991,0.966667,4.539e-05
13,0.03683,0.992143,0.091464,0.981667,3.632e-05
14,0.028738,0.992857,0.207769,0.968333,2.771e-05
15,0.019086,0.995714,0.120802,0.98,1.987e-05
16,0.015035,0.9975,0.16859,0.98,1.305e-05
17,0.003978,0.999286,0.090518,0.983333,7.49e-06
18,0.009982,0.997857,0.086966,0.985,3.38e-06
19,0.004315,0.999286,0.091988,0.985,8.5e-07
20,0.00079,0.999643,0.094593,0.985,0.0
